ip, threat_collection, threat_collection_key, threat_key, malware_alias, weight
181.30.61.163,ip_intel,cryptolaemus_es_ip_intel|181.30.61.163,cryptolaemus_es_ip_intel,emotet,1
217.13.106.14,ip_intel,cryptolaemus_es_ip_intel|217.13.106.14,cryptolaemus_es_ip_intel,emotet,1
51.255.165.160,ip_intel,cryptolaemus_es_ip_intel|51.255.165.160,cryptolaemus_es_ip_intel,emotet,1
70.32.115.157,ip_intel,cryptolaemus_es_ip_intel|70.32.115.157,cryptolaemus_es_ip_intel,emotet,1
181.61.182.143,ip_intel,cryptolaemus_es_ip_intel|181.61.182.143,cryptolaemus_es_ip_intel,emotet,1
51.15.7.145,ip_intel,cryptolaemus_es_ip_intel|51.15.7.145,cryptolaemus_es_ip_intel,emotet,1
45.184.103.73,ip_intel,cryptolaemus_es_ip_intel|45.184.103.73,cryptolaemus_es_ip_intel,emotet,1
149.202.72.142,ip_intel,cryptolaemus_es_ip_intel|149.202.72.142,cryptolaemus_es_ip_intel,emotet,1
201.71.228.86,ip_intel,cryptolaemus_es_ip_intel|201.71.228.86,cryptolaemus_es_ip_intel,emotet,1
103.13.224.53,ip_intel,cryptolaemus_es_ip_intel|103.13.224.53,cryptolaemus_es_ip_intel,emotet,1
190.115.18.139,ip_intel,cryptolaemus_es_ip_intel|190.115.18.139,cryptolaemus_es_ip_intel,emotet,1
138.97.60.140,ip_intel,cryptolaemus_es_ip_intel|138.97.60.140,cryptolaemus_es_ip_intel,emotet,1
179.222.115.170,ip_intel,cryptolaemus_es_ip_intel|179.222.115.170,cryptolaemus_es_ip_intel,emotet,1
185.94.252.27,ip_intel,cryptolaemus_es_ip_intel|185.94.252.27,cryptolaemus_es_ip_intel,emotet,1
177.144.130.105,ip_intel,cryptolaemus_es_ip_intel|177.144.130.105,cryptolaemus_es_ip_intel,emotet,1
60.93.23.51,ip_intel,cryptolaemus_es_ip_intel|60.93.23.51,cryptolaemus_es_ip_intel,emotet,1
35.143.99.174,ip_intel,cryptolaemus_es_ip_intel|35.143.99.174,cryptolaemus_es_ip_intel,emotet,1
155.186.9.160,ip_intel,cryptolaemus_es_ip_intel|155.186.9.160,cryptolaemus_es_ip_intel,emotet,1
5.89.33.136,ip_intel,cryptolaemus_es_ip_intel|5.89.33.136,cryptolaemus_es_ip_intel,emotet,1
113.163.216.135,ip_intel,cryptolaemus_es_ip_intel|113.163.216.135,cryptolaemus_es_ip_intel,emotet,1
105.209.235.113,ip_intel,cryptolaemus_es_ip_intel|105.209.235.113,cryptolaemus_es_ip_intel,emotet,1
177.73.0.98,ip_intel,cryptolaemus_es_ip_intel|177.73.0.98,cryptolaemus_es_ip_intel,emotet,1
137.74.106.111,ip_intel,cryptolaemus_es_ip_intel|137.74.106.111,cryptolaemus_es_ip_intel,emotet,1
85.214.26.7,ip_intel,cryptolaemus_es_ip_intel|85.214.26.7,cryptolaemus_es_ip_intel,emotet,1
172.104.169.32,ip_intel,cryptolaemus_es_ip_intel|172.104.169.32,cryptolaemus_es_ip_intel,emotet,1
5.2.182.7,ip_intel,cryptolaemus_es_ip_intel|5.2.182.7,cryptolaemus_es_ip_intel,emotet,1
110.39.162.2,ip_intel,cryptolaemus_es_ip_intel|110.39.162.2,cryptolaemus_es_ip_intel,emotet,1
82.137.29.8,ip_intel,cryptolaemus_es_ip_intel|82.137.29.8,cryptolaemus_es_ip_intel,emotet,1
202.134.4.210,ip_intel,cryptolaemus_es_ip_intel|202.134.4.210,cryptolaemus_es_ip_intel,emotet,1
51.75.33.127,ip_intel,cryptolaemus_es_ip_intel|51.75.33.127,cryptolaemus_es_ip_intel,emotet,1
83.103.179.156,ip_intel,cryptolaemus_es_ip_intel|83.103.179.156,cryptolaemus_es_ip_intel,emotet,1
